dates,tide
2005-04-05 21:50:00+00:00,0.6
2005-04-13 22:00:00+00:00,0.04
2005-04-21 21:50:00+00:00,0.79
2005-05-31 22:00:00+00:00,-0.88
2005-06-08 21:50:00+00:00,0.96
2005-08-03 22:00:00+00:00,0.9
2005-08-19 22:00:00+00:00,1.6
2005-10-22 22:00:00+00:00,-0.15
2005-10-30 21:50:00+00:00,0.75
2006-01-10 22:00:00+00:00,0.2
2006-01-26 22:00:00+00:00,0.35
2006-02-03 22:00:00+00:00,-0.52
2006-02-19 22:00:00+00:00,-0.29
2006-02-27 22:00:00+00:00,1.77
2006-03-15 22:00:00+00:00,1.34
2006-03-31 22:00:00+00:00,1.2
2006-04-16 22:00:00+00:00,0.85
2006-05-18 22:00:00+00:00,-0.45
2006-05-26 22:00:00+00:00,1.32
2006-06-27 22:00:00+00:00,0.96
2006-07-13 22:00:00+00:00,0.88
2006-07-21 22:00:00+00:00,0.05
2006-12-04 22:00:00+00:00,1.41
2006-12-28 22:00:00+00:00,-0.99
2007-01-29 22:00:00+00:00,0.27
2007-02-14 22:00:00+00:00,0.46
2007-03-02 22:00:00+00:00,1.26
2007-04-19 22:00:00+00:00,1.2
2007-07-24 22:00:00+00:00,-0.53
2007-09-26 22:00:00+00:00,1.62
2007-12-31 22:00:00+00:00,-0.78
2008-02-01 22:00:00+00:00,-0.26
2008-05-23 22:00:00+00:00,0.5
2008-08-27 22:00:00+00:00,0.11
2008-10-14 21:50:00+00:00,1.54
2008-12-25 21:50:00+00:00,0.93
2009-03-23 22:00:00+00:00,0.65
2009-04-08 22:00:00+00:00,1.4
2009-09-15 22:00:00+00:00,0.07
2009-11-02 22:00:00+00:00,1.37
2009-11-26 22:00:00+00:00,-0.65
2009-12-12 22:00:00+00:00,0.0
2010-01-05 22:00:00+00:00,-0.44
2010-01-13 22:00:00+00:00,1.02
2010-01-29 22:00:00+00:00,1.62
2010-03-10 22:00:00+00:00,-0.02
2010-04-11 22:00:00+00:00,0.69
2010-05-13 22:00:00+00:00,1.29
2010-05-29 22:00:00+00:00,1.14
2010-06-30 22:00:00+00:00,0.25
2010-09-02 22:00:00+00:00,-0.86
2010-09-18 22:00:00+00:00,-0.15
2010-10-28 22:00:00+00:00,-0.27
2010-11-05 22:00:00+00:00,1.43
2010-11-21 22:00:00+00:00,1.28
2011-01-16 22:00:00+00:00,0.24
2011-02-09 22:00:00+00:00,-0.31
2011-02-17 22:00:00+00:00,1.63
2011-02-25 22:00:00+00:00,-0.75
2011-03-21 22:00:00+00:00,1.45
2011-04-06 22:00:00+00:00,0.84
2011-08-20 22:00:00+00:00,-0.49
2012-01-11 22:00:00+00:00,1.11
2012-04-16 22:00:00+00:00,-0.01
2012-05-02 22:00:00+00:00,-0.09
2012-07-05 22:00:00+00:00,1.23
2012-08-22 22:00:00+00:00,-0.25
2012-09-23 22:00:00+00:00,-1.0
2012-10-09 22:00:00+00:00,-0.72
2012-10-25 22:00:00+00:00,-0.08
2012-12-12 22:00:00+00:00,1.49
2012-12-28 22:00:00+00:00,1.26
2013-04-27 22:10:00+00:00,1.45
2013-06-22 22:00:00+00:00,1.38
2013-07-24 22:00:00+00:00,1.34
2013-09-02 22:10:00+00:00,0.43
2013-10-28 22:00:00+00:00,-0.65
2013-11-05 22:10:00+00:00,1.4
2013-11-13 22:00:00+00:00,-0.1
2013-11-21 22:10:00+00:00,0.51
2013-12-15 22:00:00+00:00,0.97
2014-01-08 22:10:00+00:00,-0.92
2014-01-24 22:10:00+00:00,-0.84
2014-02-01 22:00:00+00:00,1.48
2014-02-09 22:10:00+00:00,-0.23
2014-02-25 22:10:00+00:00,-0.15
2014-03-05 22:00:00+00:00,0.06
2014-03-21 22:00:00+00:00,-0.03
2014-04-22 22:00:00+00:00,-0.98
2014-07-03 22:10:00+00:00,-0.39
2014-07-27 22:00:00+00:00,1.23
2014-08-28 22:00:00+00:00,0.84
2014-09-29 22:00:00+00:00,-0.13
2014-11-08 22:10:00+00:00,1.43
2014-12-02 22:00:00+00:00,-0.15
2014-12-18 22:00:00+00:00,0.12
2015-01-03 22:00:00+00:00,1.09
2015-02-12 22:10:00+00:00,-0.73
2015-02-28 22:10:00+00:00,-0.15
2015-04-01 22:10:00+00:00,0.73
2015-04-25 22:10:00+00:00,-0.71
2015-05-19 22:10:00+00:00,1.42
2015-05-27 22:10:00+00:00,-0.61
2015-06-04 22:10:00+00:00,1.21
2015-07-22 22:10:00+00:00,-0.5
2015-09-24 22:10:00+00:00,-0.29
2015-11-11 22:10:00+00:00,1.27
2016-01-22 22:10:00+00:00,1.16
2016-02-23 22:10:00+00:00,1.44
2016-03-26 22:10:00+00:00,0.85
2016-05-13 22:10:00+00:00,-0.84
2016-06-30 22:10:00+00:00,-0.45
2016-07-08 22:10:00+00:00,0.18
2016-08-01 22:10:00+00:00,1.07
2016-08-17 22:10:00+00:00,1.25
2016-09-10 22:10:00+00:00,-0.74
2016-11-21 22:10:00+00:00,-0.93
2017-02-09 22:10:00+00:00,1.27
2017-02-25 22:10:00+00:00,1.36
2017-03-05 22:10:00+00:00,-0.92
2017-03-21 22:10:00+00:00,-0.55
2017-04-22 22:10:00+00:00,-0.12
2017-04-30 22:10:00+00:00,-0.01
2017-05-24 22:10:00+00:00,1.28
2017-06-09 22:10:00+00:00,1.2
2017-06-25 22:10:00+00:00,1.46
2017-07-11 22:10:00+00:00,0.94
2017-08-04 22:10:00+00:00,0.33
2017-08-20 22:10:00+00:00,1.18
2017-08-28 22:10:00+00:00,-0.67
2017-11-08 22:10:00+00:00,-0.05
2017-12-02 22:10:00+00:00,1.29
2018-05-03 22:10:00+00:00,0.58
2018-05-19 22:10:00+00:00,-0.01
2018-06-27 22:10:00+00:00,1.13
2018-06-28 22:10:00+00:00,1.2
2018-07-13 22:10:00+00:00,1.66
2018-07-22 22:10:00+00:00,-0.47
2018-07-29 22:10:00+00:00,1.08
2018-08-23 22:00:00+00:00,0.57
2018-08-30 22:10:00+00:00,0.48
2018-08-31 22:10:00+00:00,0.03
2018-09-08 22:00:00+00:00,1.33
2018-10-01 22:10:00+00:00,-0.7
2018-10-17 22:10:00+00:00,-0.71
2018-10-18 22:10:00+00:00,-0.58
2018-12-21 22:10:00+00:00,1.21
2018-12-29 22:00:00+00:00,-1.06
2019-01-06 22:10:00+00:00,1.3
2019-01-21 22:10:00+00:00,1.76
2019-01-22 22:10:00+00:00,1.59
2019-01-30 22:00:00+00:00,-0.23
2019-02-07 22:10:00+00:00,0.89
2019-02-15 22:00:00+00:00,-0.22
2019-02-23 22:10:00+00:00,0.14
2019-03-03 22:00:00+00:00,0.79
2019-04-04 22:00:00+00:00,1.35
2019-04-12 22:10:00+00:00,-0.81
2019-04-20 22:00:00+00:00,1.54
2019-05-14 22:10:00+00:00,-0.34
2019-06-14 22:00:00+00:00,0.55
2019-06-15 22:10:00+00:00,0.9
2019-06-23 22:00:00+00:00,-0.54
2019-07-16 22:00:00+00:00,1.2
2019-07-25 21:50:00+00:00,-0.84
2019-08-18 22:10:00+00:00,0.78
2019-08-26 21:50:00+00:00,-0.24
2019-10-05 22:10:00+00:00,-0.79
2019-10-20 22:00:00+00:00,-0.68
2019-10-29 21:50:00+00:00,1.48
2019-11-06 22:10:00+00:00,-0.53
2019-11-22 22:10:00+00:00,-0.44
2019-12-08 22:10:00+00:00,0.14
2019-12-23 21:50:00+00:00,0.72
2020-01-17 21:50:00+00:00,-1.07
2020-01-24 21:50:00+00:00,1.36
2020-01-25 22:10:00+00:00,1.36
2020-02-09 21:50:00+00:00,1.68
2020-02-10 22:10:00+00:00,1.61
2020-02-25 21:50:00+00:00,0.99
2020-03-05 21:40:00+00:00,0.05
2020-03-12 21:50:00+00:00,0.59
2020-03-13 22:10:00+00:00,0.19
2020-03-28 21:50:00+00:00,0.29
2020-04-06 21:40:00+00:00,1.57
2020-05-08 21:40:00+00:00,1.42
2020-05-15 21:50:00+00:00,-0.59
2020-05-16 22:10:00+00:00,-0.46
2020-06-09 21:40:00+00:00,-0.01
2020-06-25 21:40:00+00:00,-0.28
2020-07-02 21:40:00+00:00,0.69
2020-07-18 21:40:00+00:00,0.84
2020-07-19 22:10:00+00:00,1.03
2020-08-03 21:40:00+00:00,1.29
2020-08-12 21:30:00+00:00,-0.7
2020-08-20 22:10:00+00:00,1.5
2020-09-20 21:40:00+00:00,0.43
2020-10-07 22:10:00+00:00,-0.05
2020-10-15 21:30:00+00:00,1.53
2020-11-16 21:30:00+00:00,1.34
2020-12-10 22:10:00+00:00,-0.53
2021-01-03 21:20:00+00:00,-0.45
2021-02-12 22:10:00+00:00,1.46
2021-02-20 21:20:00+00:00,-0.46
2021-03-31 21:20:00+00:00,0.28
2021-04-01 22:10:00+00:00,0.26
2021-04-25 21:20:00+00:00,1.58
2021-05-02 21:20:00+00:00,-0.85
2021-05-03 22:10:00+00:00,-0.79
2021-05-18 21:20:00+00:00,-0.71
2021-08-07 22:10:00+00:00,1.06
2021-10-09 21:10:00+00:00,0.13
2021-10-18 21:00:00+00:00,1.24
2021-11-10 21:00:00+00:00,-1.05
2021-11-19 21:00:00+00:00,1.12
2021-11-26 21:00:00+00:00,-0.81
2021-12-28 21:00:00+00:00,-0.48
2022-01-29 21:00:00+00:00,1.07
2022-02-14 21:00:00+00:00,1.12
2022-02-23 20:50:00+00:00,-0.94
2022-02-23 22:10:00+00:00,-0.77
2022-03-02 20:50:00+00:00,1.32
2022-03-27 20:40:00+00:00,0.49
2022-03-27 22:10:00+00:00,-0.22
2022-04-03 20:50:00+00:00,0.35
2022-05-06 20:50:00+00:00,-0.56
2022-05-06 22:10:00+00:00,-0.15
2022-05-22 22:10:00+00:00,-0.91
2022-05-23 20:40:00+00:00,-0.41
2022-06-07 22:10:00+00:00,-0.8
2022-06-09 20:40:00+00:00,-0.02
2022-06-21 20:40:00+00:00,-0.69
2022-06-26 20:40:00+00:00,1.01
2022-07-08 20:40:00+00:00,-0.38
2022-08-02 22:10:00+00:00,0.08
2022-08-11 20:30:00+00:00,1.34
2022-08-26 22:10:00+00:00,1.12
2022-08-28 20:30:00+00:00,0.56
2022-10-01 20:30:00+00:00,-1.04
2022-10-18 20:30:00+00:00,-0.34
2022-10-21 22:10:00+00:00,0.0
2022-11-04 20:20:00+00:00,0.87
2022-11-09 20:30:00+00:00,0.75
2022-11-14 22:10:00+00:00,-0.32
2022-11-30 22:10:00+00:00,-1.01
2022-12-24 22:10:00+00:00,1.54
2022-12-25 20:20:00+00:00,-0.2
2023-01-16 20:20:00+00:00,-0.18
2023-02-07 20:20:00+00:00,0.09
2023-03-06 22:10:00+00:00,1.28
2023-03-13 20:10:00+00:00,-0.93
2023-03-14 22:10:00+00:00,-0.63
2023-03-18 20:20:00+00:00,1.22
2023-03-22 22:10:00+00:00,1.7
2023-03-30 20:10:00+00:00,0.16
2023-03-30 22:10:00+00:00,-0.37
2023-04-04 20:10:00+00:00,1.16
2023-04-07 22:10:00+00:00,1.38
2023-05-18 20:10:00+00:00,1.26
2023-05-25 22:10:00+00:00,-0.35
2023-06-18 22:10:00+00:00,1.18
2023-07-28 20:00:00+00:00,0.43
2023-07-28 22:10:00+00:00,-0.57
2023-08-05 22:10:00+00:00,0.2
2023-08-14 19:50:00+00:00,0.89
2023-08-21 22:10:00+00:00,0.09
2023-08-29 22:10:00+00:00,1.01
2023-09-15 19:50:00+00:00,0.43
2023-10-08 22:10:00+00:00,-0.52
2023-11-09 22:10:00+00:00,0.1
2023-11-25 22:10:00+00:00,0.86
2023-12-05 19:40:00+00:00,-0.29
2024-01-11 19:40:00+00:00,0.52
2024-01-12 22:10:00+00:00,1.53
2024-01-20 22:10:00+00:00,-0.43
2024-01-28 22:10:00+00:00,0.84
2024-02-13 22:10:00+00:00,0.36
2024-02-29 22:10:00+00:00,0.22
2024-03-16 22:10:00+00:00,-0.59
2024-03-24 22:10:00+00:00,1.32
2024-04-01 22:10:00+00:00,-0.55
2024-04-17 22:10:00+00:00,-0.38
2024-04-25 22:10:00+00:00,1.2
2024-05-03 22:10:00+00:00,-0.53
2024-05-11 22:10:00+00:00,0.5
2024-06-20 22:10:00+00:00,0.85
2024-07-30 22:10:00+00:00,-0.6
2024-08-31 22:10:00+00:00,0.61
2024-09-08 22:10:00+00:00,0.05
2024-09-24 22:10:00+00:00,-0.77
2024-10-26 22:10:00+00:00,-0.52
2024-12-05 22:10:00+00:00,0.23
2024-12-29 22:10:00+00:00,0.98
2025-01-06 22:10:00+00:00,-0.91
2025-01-30 22:10:00+00:00,1.53
2025-02-15 22:10:00+00:00,0.86
2025-02-23 22:10:00+00:00,-0.12
2025-04-12 22:10:00+00:00,1.31
2025-04-28 22:10:00+00:00,1.7
2025-06-07 22:10:00+00:00,0.13
2025-06-15 22:10:00+00:00,0.2
2025-07-25 22:10:00+00:00,1.36
2025-08-10 22:10:00+00:00,1.4
2025-08-18 22:10:00+00:00,-0.6
2025-09-27 22:10:00+00:00,-0.05
2025-11-06 22:10:00+00:00,1.66
2025-11-30 22:10:00+00:00,-0.71
2025-12-08 22:10:00+00:00,0.36
2025-12-16 22:10:00+00:00,0.28
